lineCmp,sameLineCmp,charCmp,wordCmp,label
4,0,13.675,6.431578947,1
6.803921569,0,13.38365651,4.56043956,0
0.994029851,0,3.505904059,1.118302018,1
6.955223881,0,21.14953271,8.290657439,1
1.219219219,0,4.929292929,1.66620014,0
0.936170213,0,1.265116279,0.501243781,1
1.211538462,0,2.819026175,1.569974555,1
5.153846154,0,11.21908127,4.219895288,1
2.173913043,0,4.366013072,2.4,1
3.806818182,0,14.14453125,4.957671958,0
5.333333333,0,6.869318182,2.23119015,0
0.923280423,0,2.698002049,0.911122397,0
5.347222222,0,8.440023068,4.143333333,1
0.249275362,0,2.824525043,0.964214712,1
0.786885246,0,0.530696576,0.327556326,1
0.167053364,0,1.516898608,0.518275539,1
1.013513514,0,5.747068677,2.178181818,1
1.898876404,0,6.401823708,2.076112412,1
1.147058824,0,4.718377088,2.412478336,1
2.527272727,0,4.806944444,1.720221607,1
3.708333333,0,8.364835165,4.765957447,1
0.11622276,0,0.265266648,0.103875135,1
3.685534591,0,4.022251891,2.170940171,1
4.227848101,0,2.343880304,1.244033872,1
5.984126984,0,24.63636364,10.62995595,1
2.277777778,0,7.34026334,2.54798331,1
4.955882353,0,4.278753292,1.241483724,1
0.267361111,0,1.94964161,0.646320195,1
1.002932551,0,3.891844592,1.258344459,1
8.087719298,0,35.06737589,15.73451327,1
5.083333333,0,8.380639869,2.913961039,1
0.140939597,0,0.890510949,0.313606474,1
2.254237288,0,15.13188976,7.511312217,1
4.325581395,0,3.543426021,1.869430052,1
1.208333333,0,4.690527066,1.605529332,1
0.4,0,2.743626744,1.003752345,1
7.127659574,0,19.93907563,8.293814433,1
1.137254902,0,1.915851272,1.067961165,1
0.137745975,0,0.518354795,0.183818311,1
1.823880597,0,6.662490789,2.47705146,1
0.867256637,0,3.381528046,1.183673469,1
0.605263158,0,1.005985634,0.357310399,1
1.384615385,0,3.791974657,1.390295359,1
6.392156863,0,18.81526104,8.414893617,1
0.548780488,0,1.368888889,0.596182085,1
0.140298507,0,0.314540059,0.121799308,1
5.644067797,0,15.48538961,5.546391753,1
1.087349398,0,4.13358209,1.290592334,1
0.266666667,0,0.529430413,0.207077626,1
0.378787879,0,0.691868759,0.291486291,1
1.520833333,0,15.41067762,7.16751269,1
4.589041096,0,3.549612689,1.819101124,1
0.218487395,0,0.456430288,0.179556517,0
0.207392197,0,0.795918367,0.297243108,1
0.382716049,0,2.236443884,0.88375,0
1.058823529,0,3.487700535,1.856451613,1
0.202666667,0,1.633114754,0.577516986,1
0.15902965,0,0.437113402,0.155794807,1
1.345454545,0,4.245183888,2.025531915,1
1.545454545,0,10.6626506,4.440217391,1
0.970588235,0,6.616260163,2.933333333,1
0.106235566,0,0.333333333,0.120815698,1
1.086053412,0,4.332115455,1.410677618,1
0.583333333,0,2.997769517,1.029370629,1
0.445652174,0,1.646148614,0.58802356,0
1.250896057,0,3.113201727,1.108597285,1
0.256716418,0,0.644476957,0.247237569,1
1.3,0,7.715859031,3.727777778,0
0.453846154,0,1.17432531,0.528052805,1
0.510204082,0,3.972304649,1.431726908,1
0.770491803,0,1.729433272,0.748,1
0.685314685,0,2.966942149,1.273462783,1
0.355704698,0,0.298507463,0.192379182,1
0.101910828,0,0.495854063,0.205586592,1
4.84,0,7.287037037,5.405714286,1
0.193121693,0,0.998236332,0.367549669,1
0.132963989,0,0.322693904,0.125827815,1
1.002985075,0,3.677538918,1.168289291,1
9.272727273,0,94.4522293,43.203125,1
0.979411765,0,3.08984375,0.954680978,1
2.075757576,0,1.327540107,0.738896366,1
1.327586207,0,9.65184244,3.473684211,1
0.189655172,0,0.60501269,0.202422145,1
3.228571429,0,10.46062567,3.837647059,1
0.967741935,0,3.417670683,1.423580786,1
23.61428571,0,2.456862031,2.732183908,1
0.698795181,0,5.096273292,1.908029197,1
0.807692308,0,2.602244389,1.08839779,1
5.8125,0,10.50668037,3.691358025,1
0.68879668,0,2.081175954,0.7998003,1
0.582278481,0,0.508444962,0.193722944,1
1.866666667,0,1.823636364,0.682539683,1
8.204081633,0,22.52666667,10.46486486,1
2.914529915,0,3.808235294,1.859075536,1
6.66,0,20.2952183,8.528497409,1
1.033994334,0,3.216702225,1.074853801,1
3.416666667,0,14.38830898,7.592391304,1
0.223188406,0,0.573033708,0.293735225,1
0.584070796,0,2.118950437,0.678172589,1
0.76744186,0,1.729658793,0.743975904,1
5.95,0,19.04651163,7.213675214,1
0.816326531,0.00625,2.235227594,0.931315483,1
0.859649123,0.006802721,1.592039801,0.753698869,1
0.7975,0.003134796,1.818638393,0.922485207,1
0.934782609,0.005813953,2.456938484,0.986025713,1
0.953846154,0.005376344,1.903074141,0.950885668,1
0.943820225,0.005952381,2.009748892,0.943671306,1
0.93989071,0.005813953,2.044233807,0.976435935,1
0.388059701,0.006410256,0.728983918,0.333456836,0
0.963414634,0.003164557,2.775117425,1.070915998,1
0.237096774,0.006802721,0.570875521,0.27121829,0
0.969230769,0.003174603,2.327880184,1.033179724,1
0.864705882,0.006802721,1.700530035,0.825095057,1
